journal,ISSN
Туберкулез и болезни легких,2075-1230
Туберкулез и социально-,2413-0346
Тульский научный вестник.,2712-8407
Турбины и дизели,2949-2971
Туризм: право и экономика,1813-1212
Тяжелое машиностроение,1024-7106
Уголовная юстиция,2308-8451
Уголовное право,2071-5870
Уголовное судопроизводство,2072-4411
Уголовно-исполнительная,2072-4438
Уголовно-исполнительное,2072-2427
Уголовный процесс,2076-4413
Ультразвуковая и,1607-0771
Ульяновский медико-,2227-1848
Умные композиты в,2782-1919
Университетский научный,2222-5064
Университетский научный,2222-5065
Университетское управление:,1999-6640
Управленец,2218-5003
Управление,2309-3633
Управление большими,1819-2467
Управление и политика,2782-7062
Управление наукой и,2686-6706
Управление образованием:,2311-2174
Управление персоналом и,2305-7807
Управление риском,1684-6303
Управление техносферой,2686-8148
Управление финансовыми,2221-7541
Управление экономическими,1999-4516
Управленческий учет,1814-8476
Управленческое,1726-1139
Упрочняющие технологии и,1813-1336
Уральский исторический,1728-9718
Уральский медицинский,2071-5943
Урбанистика,2310-8673
Уровень жизни населения,1999-9836
Урологические ведомости,2225-9074
Успехи геронтологии/Advances,1561-9125
Успехи кибернетики,2712-9942
Успехи прикладной физики,2307-4469
Успехи современного,1681-7494
Успехи современной,2070-0784
Устойчивое развитие горных,1998-4502
Уфимский гуманитарный,2713-2358
Учебная физика,2307-5457
Ученые записки ИАфр РАН,2412-5717
Ученые записки (Номаи,2077-4990
Ученые записки (Номаи,2077-4974
Ученые записки,2658-7114
Ученые записки Казанского,1815-6126
Ученые записки Казанской,2413-4201
Ученые записки,2076-4359
Ученые записки Крымского,2413-1725
Ученые записки Крымского,2413-1717
Ученые записки Крымского,2413-1741
Ученые записки Крымского,2413-1709
Ученые записки Крымского,2413-1679
Ученые записки Крымского,2413-1695
Учёные записки Крымского,2413-1644
Ученые записки Крымского,2413-1733
Ученые записки,2413-3345
Ученые записки национального,2305-8838
Ученые записки Новгородского,2411-7951
Ученые записки Орловского,1998-2720
Ученые записки,2542-1077
Ученые записки Российского,2074-2762
Ученые записки Российского,2071-5323
Ученые записки Российской,2227-9997
Ученые записки Российской,2073-6258
Учёные записки Первого,2949-1452
Ученые записки университета,1994-4683
Ученые записки учреждения,2078-0109
Ученые записки физического,2307-9665
Ученые записки ЦАГИ,0321-3439
Ученые записки. Электронный,2074-1774
Ученые труды Российской,1997-0986
Учет и контроль,2415-7783
Учет и статистика,1994-0874
Учёт. Анализ. Аудит,2408-9303
Фармакокинетика и,2587-7836
Фармакология &,2713-2129
Фармакоэкономика.,2070-4909
Фармакоэкономика: теория и,2312-2862
Фарматека,2073-4034
Фармация,0367-3014
Фармация и фармакология /,2307-9266
Федерализм,2073-1051
Физика в школе,0130-5522
Физика волновых процессов и,1810-3189
Физика и техника высоких,0868-5924
Физика и техника,0015-3222
Физика металлов и,0015-3230
Физика твердого тела,0367-3294
Физико-технические проблемы,0015-3273
Физико-химическая кинетика в,1991-6396
Физико-химические аспекты,2226-4442
Физиотерапевт,2074-9961
"Физиотерапия, бальнеология и",1681-3456
Физическая культура в школе,0130-5581
"Физическая культура, спорт –",1999-6799
Физическая культура:,1817-4779
Физическая культура. Спорт.,2500-0365
Физическая и,2658-4522
Физическая и,2658-6843
Физические основы,2225-4293
Физическое воспитание и,2311-8776
Физическое образование в,1609-3143
Филоlogos,2079-2638
Филологические науки в,2410-2423
Филологические науки.,1997-2911
Филологические науки.,2310-4287
Филологический вестник,2949-4656
Филологический класс,2071-2405
Филология и культура.,2074-0239
Филология и человек,1992-7940
Филология: научные,2305-6177
Философические письма.,2658-5413
Философия. Журнал Высшей,2587-8719
Философия и культура,1999-2793
Философия науки,1560-7488
Философия науки и техники,2225-9783
Философия образования,1811-0916
Философия права,1817-7085
Философия хозяйства - журнал,2073-6118
Философская мысль,2409-8728
Философские науки,0235-1188
Философский журнал /,2072-0726
Финансовая аналитика:,2073-4484
Финансовая жизнь,2218-4708
Финансовая экономика,2075-7786
Финансовое право,1813-1220
Финансовое право и,2310-0508
Финансовые исследования,1991-0525
Финансовые рынки и банки,2658-3917
Финансовый бизнес,0869-8589
Финансовый журнал,2075-1990
Финансы и бизнес,1814-4802
Финансы и кредит,2071-4688
Финансы и управление,2409-7802
"Финансы, деньги, инвестиции",2222-0917
Финансы: теория и практика /,2587-5671
Финно-угорский мир,2076-2577
Фиторазнообразие Восточной,2072-8816
Флебология,1997-6976
"Фольклор: структура,",2658-5294
Форпост науки/ Science Outpost,2949-0855
ФОТОНИКА,1993-7296
Фотон-Экспресс,2308-6920
Фундаментальная и,2500-0764
Фундаментальная и прикладная,2073-6673
Фундаментальная и прикладная,2410-8758
Фундаментальные и,2076-9288
Фундаментальные и,2073-7408
Фундаментальные,1812-7339
Фундаментальные проблемы,1811-1416
ФЭС: Финансы. Экономика.,1995-7637
Хвойные бореальной зоны,1993-0135
Химическая промышленность,2713-2854
ХИМИЧЕСКАЯ ФИЗИКА И,1727-0529
Химия в школе,0368-5632
Химия и технология,2587-6724
Хирург,2074-0190
Хирургическая практика,2223-2427
Хирургия. Журнал им. Н.И.,0023-1207
Хирургия и онкология,2949-5857
Хирургия позвоночника,1810-8997
Хлебопечение России,2073-3569
Хлебопродукты,0235-2508
Хозяйство и право,0134-2398
Хранение и переработка,2072-9669
Христианское чтение,1814-5574
Христианство на Ближнем,2587-9316
Художественная культура,2226-0072
Цветные металлы,0372-2929
Цемент и его применение,1607-8837
Ценности и смыслы,2071-6427
Центр и периферия,2307-5775
Цивилист,2071-5889
ЦИТИСЭ,2409-7616
Цитокины и воспаление,1684-7849
Цифровая обработка сигналов,1684-2634
Цифровая экономика,3034-2074
Цифровое право Digital Law,2686-9136
Человек и его здоровье,1998-5746
Человек и культура,2409-8744
Человек и образование,1815-7041
"Человек Научно-популярный,",0236-2007
Человек: Образ и сущность.,1728-9319
Человек. Общество. Инклюзия,2412-8139
Человек. Спорт. Медицина /,2500-0195
Человек: преступление и,1999-9917
Человеческий капитал,2074-2029
Челябинский гуманитарий,1999-5407
Черная металлургия. Бюллетень,0135-5910
Черные металлы,0132-0890
Школа Будущего,1996-4552
Школа и производство,0037-4024
Школьные технологии,2220-2641
ЭКО,0131-7652
Экологическая безопасность,2413-5577
Экологическая генетика,1811-0932
Экологический вестник,1729-5459
Экологический Вестник,2308-3875
Экологический мониторинг и,2782-3237
Экологическое право,1812-3775
Экология и промышленность,1816-0395
Экология промышленного,2073-2589
Экология урбанизированных,1816-1863
ЭКОНОМИКА БИЗНЕС,2304-9596
Экономика,2542-0593
Экономика промышленности /,2072-1633
Экономика железных дорог,1727-6500
Экономика. Информатика,2687-0932
Экономика и математические,0424-7388
Экономика и менеджмент,2223-0432
Экономика и,1999-2300
Экономика и управление,1998-1627
Экономика и управление,2587-5574
Экономика и управление в,2072-0890
Экономика и управление в,2949-3196
Экономика и управление,2072-9324
Экономика и управление:,2072-8697
Экономика и управление:,2412-8376
Экономика образования,1609-4654
Экономика. Право. Инновации,2713-1874
ЭКОНОМИКА ПРОФЕССИЯ,2413-8584
Экономика региона,2072-6414
Экономика Северо-Запада:,2411-4588
Экономика сельского хозяйства,2070-0288
Экономика,0235-2494
Экономика строительства,0131-7768
Экономика строительства и,1993-3509
Экономика строительства и,2519-4453
Экономика Таджикистана,2310-3957
Экономика труда,2410-1613
Экономика устойчивого,2079-9136
"Экономика, труд, управление в",2077-3595
"Экономика: вчера, сегодня,",2222-9167
Экономика Центральной Азии,2542-0607
Экономическая безопасность,2658-7548
Экономическая наука,1609-1442
Экономическая политика,1994-5124
Экономическая социология,1726-3247
Экономическая среда,2306-1758
Экономические и,2079-1968
Экономические и,2073-7424
Экономические и социально-,2409-1073
Экономические и социальные,1998-0698
Экономические и социальные,1998-1791
Экономические науки,2072-0858
Экономические отношения,2587-8921
Экономический вектор,2411-7269
Экономический вестник,2949-4648
Экономический вестник,2073-9427
Экономический журнал,1813-8691
Экономическое возрождение,1990-9780
Экономическое правосудие в,2542-0674
Экономическое развитие,2306-5001
Экосистемы,2414-4738
Экспериментальная и,2222-8543
Экспериментальная психология,2072-7593
Эксперт: теория и практика,2686-7818
Эксплуатация морского,1992-8181
Экспозиция Нефть Газ,2076-6785
Электрические станции,0201-4564
Электричество,0013-5380
"ЭЛЕКТРО. Электротехника,",1995-5685
Электромагнитные волны и,1560-4128
Электроника и,1812-6782
"ЭЛЕКТРОНИКА: Наука,",1992-4178
Электронная техника. Серия 1,1990-9012
Электронная техника. Серия 2.,2073-8250
ЭЛЕКТРОННАЯ ТЕХНИКА.,2410-9932
Электронное приложение к,2219-6838
Электронные библиотеки,1562-5419
Электронные информационные,2312-9719
Электронный научно-,2687-1106
Электронный научно-,2079-8784
Электронный научно-,2313-8459
Электронный научный журнал,2949-0529
Электронный научный журнал,2226-6143
Электронный научный журнал,2307-9525
Электронный научный журнал,2500-2872
Электронный сетевой,2312-9409
Электросвязь,0013-5771
Электротехнические и,1999-5458
Электротехнические системы и,2311-8318
Электротехнологии и,2658-4859
Электрохимическая энергетика,1608-4039
ЭЛЕКТРОЭНЕРГИЯ. Передача,2218-3116
Эндоваскулярная хирургия,2409-4080
Эндодонтия today,1683-2981
Эндокринная хирургия,2306-3513
"Эндокринология: новости,",2304-9529
Эндоскопическая хирургия,1025-7209
Энергетик,0013-7278
Энергетическая политика,2409-5516
Энерго- и ресурсосбережение:,2500-0586
Энергобезопасность и,2071-2219
Энергосбережение и,1992-4658
Эпидемиология и,2073-3046
Эпидемиология и,1560-9529
Эпидемиология и,2411-3026
Эпидемиология и,2226-6976
Эпилепсия и пароксизмальные,2077-8333
Эпосоведение,2782-4861
Эргодизайн,2619-1512
Эталоны. Стандартные образцы,2687-0886
"ЭТАП: Экономическая Теория,",2071-6435
Этическая мысль/Ethical,2074-4870
Этническая культура,2713-1688
Этнография,2618-8600
Этнопсихолингвистика /,2658-5650
Этносоциум и,2072-3091
Эффективная фармакотерапия,2307-3586
"Юг России: экология, развитие",1992-1098
Юго-Восточная Азия:,2072-8271
Южно-российский журнал,2618-8007
Южно-Российский,2076-4766
Южно-Российский,2686-9039
Южно-Российский журнал,2712-8156
Южно-Сибирский научный,2304-1943
Южно-Уральский медицинский,2541-8866
ЮРИДИЧЕСКАЯ,2500-3674
Юридическая наука,2220-5500
Юридическая наука и,1998-6963
Юридическая наука и практика,2542-0410
Юридическая наука и практика:,2078-5356
Юридическая психология,2071-1204
Юридические исследования,2409-7136
Юридический вестник,2790-7570
Юридический вестник,2224-0241
Юридический вестник,2078-5836
Юридический мир,1811-1475
Юридическое образование и,1813-1190
Юрислингвистика,2587-9332
Юрист,1812-3929
Юристъ-Правоведъ,1817-7093
Ядерная и радиационная,2218-8665
Ядерная физика и инжиниринг,2079-5629
Язык и культура,1999-6195
Язык и текст,2312-2757
Якутский медицинский журнал,1813-1905
